Channel:,Lum, Red, Green, Blue
Means:,600,5776, 760,5595, 697,8486, 343,5733
Note: Peaks measured from 20% upward
Peaks:,131, 108, 115, 165
PeaksLevels:,3929, 4995, 4472, 3488
0, 0, 111, 330, 1117
1, 0, 682, 1510, 4649
2, 55, 3021, 4593, 17103
3, 1137, 9807, 10600, 48848
4, 11410, 26394, 21676, 99655
5, 50869, 56252, 41729, 163547
6, 122982, 97313, 73142, 219936
7, 189188, 140780, 111579, 231068
8, 214053, 165745, 142955, 215909
9, 203439, 171534, 157315, 190607
10, 177166, 161246, 157143, 165488
11, 151045, 144994, 148076, 134940
12, 129253, 131907, 134875, 114954
13, 114803, 118071, 122383, 102143
14, 100958, 105162, 110147, 87742
15, 90790, 92843, 99619, 74067
16, 80098, 84338, 89229, 65185
17, 72387, 77907, 80744, 57933
18, 64950, 69771, 73748, 50281
19, 58405, 63348, 67020, 42693
20, 52499, 55884, 61626, 37425
21, 47866, 51400, 55645, 33747
22, 43275, 48090, 50847, 28815
23, 39297, 43691, 46837, 24861
24, 35333, 39438, 42661, 22252
25, 31981, 35753, 39464, 20468
26, 29272, 33485, 36098, 17745
27, 26119, 30667, 33140, 15917
28, 23497, 28335, 30351, 15065
29, 21439, 25332, 27777, 13883
30, 19650, 23607, 25828, 12674
31, 17939, 22077, 23672, 12064
32, 16645, 20250, 21722, 11321
33, 15642, 18479, 20380, 10525
34, 14635, 16918, 18530, 9796
35, 13513, 15953, 17264, 9366
36, 12964, 15203, 15892, 9210
37, 12174, 14530, 15243, 8364
38, 11348, 13256, 14148, 8075
39, 10932, 12813, 13405, 7995
40, 10382, 12391, 12572, 7728
41, 9806, 11760, 11878, 7206
42, 9355, 11006, 11511, 6716
43, 8699, 10308, 10807, 6779
44, 8373, 9850, 10375, 6455
45, 8080, 9466, 9707, 5780
46, 7725, 9005, 9304, 5722
47, 7405, 8746, 9046, 5742
48, 7115, 8025, 8555, 5232
49, 6698, 7944, 8112, 4956
50, 6677, 7650, 7770, 4814
51, 6301, 7277, 7386, 4777
52, 5941, 6903, 7082, 4555
